player,season,salary
Matthew Dellavedova,2014/15,"$816,482"
Ognjen Kuzmic,2014/15,"$816,482"
Justin Holiday,2014/15,"$816,482"
Nick Calathes,2014/15,"$816,482"
Justin Hamilton,2014/15,"$816,482"
Jeff Withey,2014/15,"$816,482"
Dewayne Dedmon,2014/15,"$816,482"
Hollis Thompson,2014/15,"$816,482"
Isaiah Canaan,2014/15,"$816,482"
Tony Mitchell,2014/15,"$816,482"
Ray McCallum,2014/15,"$816,482"
Carrick Felix,2014/15,"$816,482"
Grant Jerrett,2014/15,"$816,482"
Ian Clark,2014/15,"$816,481"
Darius Morris,2014/15,"$803,149"
Hassan Whiteside,2014/15,"$775,191"
Dahntay Jones,2014/15,"$721,169"
Malcolm Thomas,2014/15,"$713,910"
Spencer Dinwiddie,2014/15,"$700,000"
Johnny O'Bryant,2014/15,"$600,000"
Markel Brown,2014/15,"$507,336"
Cory Jefferson,2014/15,"$507,336"
Cameron Bairstow,2014/15,"$507,336"
Dwight Powell,2014/15,"$507,336"
Erick Green,2014/15,"$507,336"
KJ McDaniels,2014/15,"$507,336"
Nick Johnson,2014/15,"$507,336"
Shayne Whittington,2014/15,"$507,336"
Jordan Clarkson,2014/15,"$507,336"
Tarik Black,2014/15,"$507,336"
Jarnell Stokes,2014/15,"$507,336"
Russ Smith,2014/15,"$507,336"
James Ennis,2014/15,"$507,336"
Glenn Robinson III,2014/15,"$507,336"
Patric Young,2014/15,"$507,336"
Cleanthony Early,2014/15,"$507,336"
Travis Wear,2014/15,"$507,336"
JaKarr Sampson,2014/15,"$507,336"
Eric Moreland,2014/15,"$507,336"
Joe Ingles,2014/15,"$507,336"
AJ Price,2014/15,"$493,917"
John Lucas,2014/15,"$491,968"
Reggie Williams,2014/15,"$487,905"
Glen Rice Jr,2014/15,"$470,677"
Quincy Miller,2014/15,"$398,393"
Lorenzo Brown,2014/15,"$390,082"
Earl Barron,2014/15,"$390,063"
Michael Beasley,2014/15,"$330,225"
Henry Walker,2014/15,"$311,634"
Elijah Millsap,2014/15,"$301,417"
Langston Galloway,2014/15,"$295,455"
Tyler Johnson,2014/15,"$280,526"
Andre Dawkins,2014/15,"$271,697"
Toney Douglas,2014/15,"$268,973"
James Michael McAdoo,2014/15,"$259,634"
Metta World Peace,2014/15,"$250,000"
JaMychal Green,2014/15,"$244,712"
Shannon Brown,2014/15,"$215,811"
Alex Kirk,2014/15,"$214,871"
Kalin Lucas,2014/15,"$173,008"
Elliot Williams,2014/15,"$161,511"
Bryce Cotton,2014/15,"$152,200"
Jack Cooley,2014/15,"$152,199"
Brandon Davies,2014/15,"$129,676"
Earl Clark,2014/15,"$125,104"
Lester Hudson,2014/15,"$111,548"
Tim Frazier,2014/15,"$107,435"
Will Cherry,2014/15,"$106,567"
Jabari Brown,2014/15,"$104,450"
Jarvis Varnado,2014/15,"$75,000"
Drew Gordon,2014/15,"$73,657"
Jerel McNeal,2014/15,"$59,686"
David Stockton,2014/15,"$59,686"
Larry Drew II,2014/15,"$53,716"
Chris Babb,2014/15,"$48,028"
Vander Blue,2014/15,"$48,028"
Dwight Buycks,2014/15,"$48,028"
Arinze Onuaku,2014/15,"$48,028"
Seth Curry,2014/15,"$48,028"
Malcolm Lee,2014/15,"$37,686"
Sim Bhullar,2014/15,"$35,000"
Jarell Eddie,2014/15,"$29,843"
Sean Kilpatrick,2014/15,"$29,843"
David Wear,2014/15,"$29,843"
Josh Davis,2014/15,"$20,000"
Kobe Bryant,2012/13,"$27,849,000"
Brandon Roy,2012/13,"$21,459,805"
Dirk Nowitzki,2012/13,"$20,907,128"
Gilbert Arenas,2012/13,"$20,807,922"
Amare Stoudemire,2012/13,"$19,948,799"
Joe Johnson,2012/13,"$19,752,645"
Carmelo Anthony,2012/13,"$19,450,000"
Dwight Howard,2012/13,"$19,261,200"
Pau Gasol,2012/13,"$19,000,000"
Elton Brand,2012/13,"$18,160,354"
Chris Paul,2012/13,"$17,779,457"
Kevin Durant,2012/13,"$17,548,838"
LeBron James,2012/13,"$17,545,000"
Chris Bosh,2012/13,"$17,545,000"
Deron Williams,2012/13,"$17,177,795"
Dwyane Wade,2012/13,"$17,024,000"
Paul Pierce,2012/13,"$16,790,345"
Zach Randolph,2012/13,"$16,500,000"
Andrew Bynum,2012/13,"$16,473,002"
Rudy Gay,2012/13,"$16,460,532"
Derrick Rose,2012/13,"$16,402,500"
Rashard Lewis,2012/13,"$15,052,181"
Carlos Boozer,2012/13,"$15,000,000"
Al Jefferson,2012/13,"$15,000,000"
Baron Davis,2012/13,"$14,850,000"
Andre Iguodala,2012/13,"$14,718,250"
Manu Ginobili,2012/13,"$14,107,492"
Marc Gasol,2012/13,"$13,891,359"
Roy Hibbert,2012/13,"$13,668,750"
Kevin Love,2012/13,"$13,668,750"
Eric Gordon,2012/13,"$13,668,750"
Russell Westbrook,2012/13,"$13,668,750"
Brook Lopez,2012/13,"$13,668,000"
Tyson Chandler,2012/13,"$13,604,188"
Emeka Okafor,2012/13,"$13,543,250"
Luol Deng,2012/13,"$13,326,700"
Josh Smith,2012/13,"$13,200,000"
Andrew Bogut,2012/13,"$13,150,000"
Danny Granger,2012/13,"$13,058,606"
LaMarcus Aldridge,2012/13,"$13,000,000"
Nenê,2012/13,"$13,000,000"
Kevin Martin,2012/13,"$12,939,675"
David Lee,2012/13,"$12,744,000"
Tony Parker,2012/13,"$12,500,000"
Kevin Garnett,2012/13,"$12,467,532"
Ben Gordon,2012/13,"$12,400,000"
Al Horford,2012/13,"$12,000,000"
Kris Humphries,2012/13,"$12,000,000"
Nicolas Batum,2012/13,"$11,950,000"
Hidayet Turkoglu,2012/13,"$11,815,850"
Joakim Noah,2012/13,"$11,050,000"
Jose Calderon,2012/13,"$11,046,591"
Rajon Rondo,2012/13,"$11,000,000"
Monta Ellis,2012/13,"$11,000,000"
Corey Maggette,2012/13,"$10,924,138"
DeAndre Jordan,2012/13,"$10,532,977"
Richard Hamilton,2012/13,"$10,500,000"
Richard Jefferson,2012/13,"$10,164,000"
Stephen Jackson,2012/13,"$10,060,000"
JaVale McGee,2012/13,"$10,000,000"
David West,2012/13,"$10,000,000"
Andrea Bargnani,2012/13,"$10,000,000"
Andrei Kirilenko,2012/13,"$9,779,349"
Gerald Wallace,2012/13,"$9,682,435"
Tim Duncan,2012/13,"$9,638,554"
Danilo Gallinari,2012/13,"$9,439,000"
Andris Biedrins,2012/13,"$9,000,000"
Steve Nash,2012/13,"$8,900,000"
Ryan Anderson,2012/13,"$8,700,000"
Shawn Marion,2012/13,"$8,646,364"
Jameer Nelson,2012/13,"$8,600,000"
Devin Harris,2012/13,"$8,500,000"
Rodney Stuckey,2012/13,"$8,500,000"
Maurice Williams,2012/13,"$8,500,000"
Anderson Varejao,2012/13,"$8,400,000"
Brendan Haywood,2012/13,"$8,349,000"
Marvin Williams,2012/13,"$8,287,500"
Lamar Odom,2012/13,"$8,200,000"
Jeff Green,2012/13,"$8,100,000"
John Salmons,2012/13,"$8,080,000"
Charlie Villanueva,2012/13,"$8,060,000"
Thaddeus Young,2012/13,"$8,039,130"
Tyrus Thomas,2012/13,"$8,000,000"
Chris Kaman,2012/13,"$8,000,000"
George Hill,2012/13,"$8,000,000"
Caron Butler,2012/13,"$8,000,000"
Andray Blatche,2012/13,"$7,972,891"
Ersan Ilyasova,2012/13,"$7,900,000"
Beno Udrih,2012/13,"$7,810,000"
Kendrick Perkins,2012/13,"$7,800,531"
Marcus Thornton,2012/13,"$7,632,500"
Arron Afflalo,2012/13,"$7,562,500"
Goran Dragic,2012/13,"$7,500,000"
DeSagana Diop,2012/13,"$7,372,200"
Metta World Peace,2012/13,"$7,258,960"
Marcin Gortat,2012/13,"$7,258,960"
Trevor Ariza,2012/13,"$7,258,960"
Blake Griffin,2012/13,"$7,226,891"
Paul Millsap,2012/13,"$7,200,000"
Mike Conley,2012/13,"$7,180,000"
Travis Outlaw,2012/13,"$7,000,000"
Josh Childress,2012/13,"$6,890,056"
Tayshaun Prince,2012/13,"$6,764,045"
Samuel Dalembert,2012/13,"$6,700,000"
Al Harrington,2012/13,"$6,687,400"
Drew Gooden,2012/13,"$6,680,000"
Wesley Matthews,2012/13,"$6,505,320"
Brandon Bass,2012/13,"$6,500,000"
Spencer Hawes,2012/13,"$6,500,000"
Darko Milicic,2012/13,"$6,457,255"
Glen Davis,2012/13,"$6,400,000"
Francisco Garcia,2012/13,"$6,100,000"
Luke Walton,2012/13,"$6,091,363"
JJ Redick,2012/13,"$6,000,000"
Nick Young,2012/13,"$6,000,000"
Channing Frye,2012/13,"$6,000,000"
Amir Johnson,2012/13,"$6,000,000"
Wilson Chandler,2012/13,"$5,930,415"
John Wall,2012/13,"$5,915,880"
James Harden,2012/13,"$5,820,416"
Mike Miller,2012/13,"$5,800,000"
Jason Richardson,2012/13,"$5,799,625"
Aaron Brooks,2012/13,"$5,750,000"
Michael Beasley,2012/13,"$5,750,000"
Kyle Lowry,2012/13,"$5,750,000"
Jarrett Jack,2012/13,"$5,580,000"
Kyrie Irving,2012/13,"$5,530,080"
Chuck Hayes,2012/13,"$5,486,250"
Evan Turner,2012/13,"$5,293,080"
Tyreke Evans,2012/13,"$5,251,824"
Jason Thompson,2012/13,"$5,250,000"
Zaza Pachulia,2012/13,"$5,248,750"
Chris Andersen,2012/13,"$5,225,952"
Anthony Davis,2012/13,"$5,144,280"
Louis Williams,2012/13,"$5,000,000"
Kyle Korver,2012/13,"$5,000,000"
Jason Terry,2012/13,"$5,000,000"
Courtney Lee,2012/13,"$5,000,000"
Ramon Sessions,2012/13,"$5,000,000"
Andre Miller,2012/13,"$5,000,000"
Jason Maxiell,2012/13,"$5,000,000"
Omer Asik,2012/13,"$5,000,000"
Jeremy Lin,2012/13,"$5,000,000"
Jamal Crawford,2012/13,"$5,000,000"
Landry Fields,2012/13,"$5,000,000"
Derrick Williams,2012/13,"$4,947,840"
Robin Lopez,2012/13,"$4,899,293"
Luc Mbah a Moute,2012/13,"$4,794,192"
Daniel Gibson,2012/13,"$4,792,332"
Derrick Favors,2012/13,"$4,753,320"
Nikola Pekovic,2012/13,"$4,640,000"
Michael Kidd-Gilchrist,2012/13,"$4,602,720"
Linas Kleiza,2012/13,"$4,600,000"
Marcus Camby,2012/13,"$4,590,338"
Jonas Jerebko,2012/13,"$4,500,000"
Luis Scola,2012/13,"$4,500,000"
Boris Diaw,2012/13,"$4,500,000"
Jose Juan Barea,2012/13,"$4,493,000"
Enes Kanter,2012/13,"$4,443,360"
Wesley Johnson,2012/13,"$4,285,560"
Jared Dudley,2012/13,"$4,250,000"
Marreese Speights,2012/13,"$4,200,000"
Bradley Beal,2012/13,"$4,133,280"
Dorell Wright,2012/13,"$4,106,000"
Udonis Haslem,2012/13,"$4,060,000"
Steve Novak,2012/13,"$4,054,055"
OJ Mayo,2012/13,"$4,020,000"
Tristan Thompson,2012/13,"$4,006,080"
Anthony Morrow,2012/13,"$4,000,000"
Carl Landry,2012/13,"$4,000,000"
Brandon Rush,2012/13,"$4,000,000"
Ian Mahinmi,2012/13,"$4,000,000"
Ryan Gomes,2012/13,"$4,000,000"
Steve Blake,2012/13,"$4,000,000"
Mario Chalmers,2012/13,"$4,000,000"
Luke Ridnour,2012/13,"$4,000,000"
Raymond Felton,2012/13,"$4,000,000"
Hakim Warrick,2012/13,"$4,000,000"
JJ Hickson,2012/13,"$4,000,000"
Stephen Curry,2012/13,"$3,958,742"
Tiago Splitter,2012/13,"$3,944,000"
Kirk Hinrich,2012/13,"$3,941,000"
DeMarcus Cousins,2012/13,"$3,880,800"
Joel Anthony,2012/13,"$3,750,000"
Mike Dunleavy,2012/13,"$3,750,000"
Ricky Rubio,2012/13,"$3,741,120"
Dion Waiters,2012/13,"$3,726,600"
Chris Duhon,2012/13,"$3,680,000"
Matt Bonner,2012/13,"$3,630,000"
Daequan Cook,2012/13,"$3,602,675"
Thabo Sefolosha,2012/13,"$3,600,000"
Ekpe Udoh,2012/13,"$3,524,880"
Johan Petro,2012/13,"$3,500,000"
Alonzo Gee,2012/13,"$3,500,000"
Will Bynum,2012/13,"$3,500,000"
DJ Augustin,2012/13,"$3,500,000"
Gerald Green,2012/13,"$3,500,000"
Jordan Hill,2012/13,"$3,500,000"
Matt Carroll,2012/13,"$3,500,000"
Shannon Brown,2012/13,"$3,500,000"
Danny Green,2012/13,"$3,500,000"
Raja Bell,2012/13,"$3,480,000"
Thomas Robinson,2012/13,"$3,374,640"
Jonas Valanciunas,2012/13,"$3,374,640"
DeMar DeRozan,2012/13,"$3,344,250"
Tony Allen,2012/13,"$3,300,000"
Jan Vesely,2012/13,"$3,294,960"
Corey Brewer,2012/13,"$3,243,000"
Greg Monroe,2012/13,"$3,217,680"
Brandon Jennings,2012/13,"$3,179,493"
Shawne Williams,2012/13,"$3,158,000"
Josh McRoberts,2012/13,"$3,135,000"
Shane Battier,2012/13,"$3,135,000"
Vince Carter,2012/13,"$3,120,000"
Gerald Henderson,2012/13,"$3,101,326"
Jerryd Bayless,2012/13,"$3,100,000"
Mirza Teletovic,2012/13,"$3,090,000"
Ray Allen,2012/13,"$3,090,000"
Jason Kidd,2012/13,"$3,090,000"
Damian Lillard,2012/13,"$3,065,040"
Tyler Hansbrough,2012/13,"$3,055,259"
Alexey Shved,2012/13,"$3,017,943"
Bismack Biyombo,2012/13,"$3,007,920"
Darrell Arthur,2012/13,"$3,006,217"
Kosta Koufos,2012/13,"$3,000,000"
Carlos Delfino,2012/13,"$3,000,000"
Chauncey Billups,2012/13,"$3,000,000"
Lavoy Allen,2012/13,"$3,000,000"
Kwame Brown,2012/13,"$3,000,000"
Austin Daye,2012/13,"$2,958,444"
Al-Farouq Aminu,2012/13,"$2,947,800"
Nick Collison,2012/13,"$2,929,332"
Dahntay Jones,2012/13,"$2,900,000"
Joel Freeland,2012/13,"$2,900,000"
James Johnson,2012/13,"$2,812,006"
JR Smith,2012/13,"$2,806,452"
Harrison Barnes,2012/13,"$2,798,040"
Timofey Mozgov,2012/13,"$2,794,621"
Brandon Knight,2012/13,"$2,755,560"
Gordon Hayward,2012/13,"$2,709,720"
Quentin Richardson,2012/13,"$2,706,940"
Jrue Holiday,2012/13,"$2,674,851"
Greg Stiemsma,2012/13,"$2,575,000"
Paul George,2012/13,"$2,574,120"
Terrence Ross,2012/13,"$2,563,320"
Ty Lawson,2012/13,"$2,544,528"
Kemba Walker,2012/13,"$2,532,960"
Reggie Williams,2012/13,"$2,500,000"
Jason Smith,2012/13,"$2,500,000"
Randy Foye,2012/13,"$2,500,000"
Cole Aldrich,2012/13,"$2,445,480"
Jeff Teague,2012/13,"$2,433,076"
Jimmer Fredette,2012/13,"$2,406,240"
Andre Drummond,2012/13,"$2,356,320"
Eric Maynor,2012/13,"$2,338,720"
Xavier Henry,2012/13,"$2,323,200"
Darren Collison,2012/13,"$2,319,344"
Omri Casspi,2012/13,"$2,277,306"
BJ Mullens,2012/13,"$2,253,061"
Serge Ibaka,2012/13,"$2,253,061"
DeShawn Stevenson,2012/13,"$2,240,450"
Austin Rivers,2012/13,"$2,238,360"
Rodrigue Beaubois,2012/13,"$2,227,332"
CJ Miles,2012/13,"$2,225,000"
Klay Thompson,2012/13,"$2,222,160"
Ed Davis,2012/13,"$2,207,040"
Martell Webster,2012/13,"$2,200,000"
Alec Burks,2012/13,"$2,171,640"
Taj Gibson,2012/13,"$2,155,811"
Meyers Leonard,2012/13,"$2,126,520"
Patrick Patterson,2012/13,"$2,096,760"
Dante Cunningham,2012/13,"$2,090,000"
Wayne Ellington,2012/13,"$2,083,042"
Toney Douglas,2012/13,"$2,067,880"
Markieff Morris,2012/13,"$2,063,040"
Shaun Livingston,2012/13,"$2,038,446"
Jeremy Lamb,2012/13,"$2,020,200"
Earl Watson,2012/13,"$2,000,000"
Larry Sanders,2012/13,"$1,991,760"
Marcus Morris,2012/13,"$1,959,960"
Marco Belinelli,2012/13,"$1,957,000"
Grant Hill,2012/13,"$1,957,000"
Kendall Marshall,2012/13,"$1,919,160"
Luke Babbitt,2012/13,"$1,892,280"
Kawhi Leonard,2012/13,"$1,861,920"
John Henson,2012/13,"$1,823,280"
Kevin Seraphin,2012/13,"$1,797,600"
Jeremy Evans,2012/13,"$1,795,000"
Nikola Vucevic,2012/13,"$1,768,800"
Moe Harkless,2012/13,"$1,731,960"
Eric Bledsoe,2012/13,"$1,707,720"
Iman Shumpert,2012/13,"$1,680,360"
Renaldo Balkman,2012/13,"$1,675,000"
Anthony Randolph,2012/13,"$1,674,641"
Royce White,2012/13,"$1,645,440"
Avery Bradley,2012/13,"$1,630,800"
Reggie Evans,2012/13,"$1,622,618"
Chris Singleton,2012/13,"$1,596,360"
Sebastian Telfair,2012/13,"$1,567,500"
Tyler Zeller,2012/13,"$1,563,120"
Tobias Harris,2012/13,"$1,524,480"
Derek Fisher,2012/13,"$1,519,214"
Jordan Farmar,2012/13,"$1,500,000"
Vyacheslav Kravtsov,2012/13,"$1,500,000"
Gary Forbes,2012/13,"$1,500,000"
Gustavo Ayon,2012/13,"$1,500,000"
John Lucas,2012/13,"$1,500,000"
Terrence Jones,2012/13,"$1,485,000"
Jared Jeffries,2012/13,"$1,475,106"
Keyon Dooling,2012/13,"$1,471,491"
Elliot Williams,2012/13,"$1,442,880"
Andrew Nicholson,2012/13,"$1,418,160"
Nolan Smith,2012/13,"$1,404,960"
Jodie Meeks,2012/13,"$1,400,000"
Nando De Colo,2012/13,"$1,400,000"
Trevor Booker,2012/13,"$1,385,280"
Willie Green,2012/13,"$1,375,000"
Louis Amundson,2012/13,"$1,365,196"
Evan Fournier,2012/13,"$1,361,400"
Donatas Motiejunas,2012/13,"$1,361,400"
Chris Wilcox,2012/13,"$1,352,181"
Jerry Stackhouse,2012/13,"$1,352,181"
Nazr Mohammed,2012/13,"$1,352,181"
Vladimir Radmanovic,2012/13,"$1,352,181"
Antawn Jamison,2012/13,"$1,352,181"
Joel Przybilla,2012/13,"$1,352,181"
Rasheed Wallace,2012/13,"$1,352,181"
Kurt Thomas,2012/13,"$1,352,181"
Jermaine O'Neal,2012/13,"$1,352,181"
Jamaal Tinsley,2012/13,"$1,352,181"
Jason Collins,2012/13,"$1,352,181"
Kenneth Faried,2012/13,"$1,348,800"
Jeremy Pargo,2012/13,"$1,313,845"
Jared Sullinger,2012/13,"$1,306,920"
Hamed Haddadi,2012/13,"$1,300,000"
Dominique Jones,2012/13,"$1,276,560"
Fab Melo,2012/13,"$1,254,720"
Victor Claver,2012/13,"$1,254,720"
Reggie Jackson,2012/13,"$1,243,080"
Earl Clark,2012/13,"$1,240,000"
Quincy Pondexter,2012/13,"$1,234,320"
Aleksandar Pavlovic,2012/13,"$1,232,713"
Marquis Daniels,2012/13,"$1,229,255"
Roger Mason,2012/13,"$1,229,255"
Leandro Barbosa,2012/13,"$1,229,255"
Delonte West,2012/13,"$1,223,166"
Damien Wilkins,2012/13,"$1,223,166"
Royal Ivey,2012/13,"$1,223,166"
Lazar Hayward,2012/13,"$1,209,260"
John Jenkins,2012/13,"$1,204,560"
Jordan Crawford,2012/13,"$1,198,680"
Dominic McGuire,2012/13,"$1,195,578"
MarShon Brooks,2012/13,"$1,193,280"
Greivis Vasquez,2012/13,"$1,191,240"
Christian Eyenga,2012/13,"$1,174,080"
Jared Cunningham,2012/13,"$1,156,320"
Jordan Hamilton,2012/13,"$1,153,800"
Nate Robinson,2012/13,"$1,146,337"
Ronny Turiaf,2012/13,"$1,146,337"
Ronnie Price,2012/13,"$1,146,337"
JaJuan Johnson,2012/13,"$1,120,440"
Norris Cole,2012/13,"$1,113,600"
Josh Howard,2012/13,"$1,113,560"
Tony Wroten,2012/13,"$1,110,120"
Cory Joseph,2012/13,"$1,105,560"
Jimmy Butler,2012/13,"$1,097,520"
Patrick Mills,2012/13,"$1,085,120"
Miles Plumlee,2012/13,"$1,073,280"
Ryan Hollins,2012/13,"$1,069,509"
Ronnie Brewer,2012/13,"$1,069,509"
Luke Harangody,2012/13,"$1,054,389"
DeJuan Blair,2012/13,"$1,054,000"
Arnett Moultrie,2012/13,"$1,042,320"
Devin Ebanks,2012/13,"$1,040,000"
Perry Jones,2012/13,"$1,035,960"
Festus Ezeli,2012/13,"$1,020,960"
Mickael Pietrus,2012/13,"$1,005,096"
Kyle Singler,2012/13,"$1,000,000"
Jon Brockman,2012/13,"$1,000,000"
CJ Watson,2012/13,"$992,680"
Kelenna Azubuike,2012/13,"$992,680"
Brandan Wright,2012/13,"$992,680"
Ishmael Smith,2012/13,"$985,000"
Gary Neal,2012/13,"$972,000"
Ivan Johnson,2012/13,"$962,195"
Chase Budinger,2012/13,"$942,293"
Darius Morris,2012/13,"$937,195"
Anthony Tolliver,2012/13,"$915,852"
Cartier Martin,2012/13,"$915,852"
Lance Stephenson,2012/13,"$915,243"
James Anderson,2012/13,"$902,002"
Chandler Parsons,2012/13,"$888,250"
Hasheem Thabeet,2012/13,"$885,120"
Alan Anderson,2012/13,"$885,120"
DeMarre Carroll,2012/13,"$885,120"
AJ Price,2012/13,"$885,120"
Marquis Teague,2012/13,"$857,000"
Keith Bogans,2012/13,"$854,389"
Jeff Ayres,2012/13,"$854,389"
Matt Barnes,2012/13,"$854,389"
Dexter Pittman,2012/13,"$854,389"
Will Conroy,2012/13,"$854,389"
James White,2012/13,"$854,389"
Draymond Green,2012/13,"$850,000"
Tyler Honeycutt,2012/13,"$850,000"
Brad Miller,2012/13,"$848,000"
Mike James,2012/13,"$795,400"
Kyle O'Quinn,2012/13,"$788,872"
Jeremy Tyler,2012/13,"$762,195"
Cory Higgins,2012/13,"$762,195"
Josh Selby,2012/13,"$762,195"
Julyan Stone,2012/13,"$762,195"
Greg Smith,2012/13,"$762,195"
Trey Thompkins,2012/13,"$762,195"
Jon Leuer,2012/13,"$762,195"
Malcolm Lee,2012/13,"$762,195"
Lance Thomas,2012/13,"$762,195"
DeAndre Liggins,2012/13,"$762,195"
Daniel Orton,2012/13,"$762,195"
Justin Harper,2012/13,"$762,195"
E'Twaun Moore,2012/13,"$762,195"
Charles Jenkins,2012/13,"$762,195"
PJ Tucker,2012/13,"$762,195"
Isaiah Thomas,2012/13,"$762,195"
Shelvin Mack,2012/13,"$761,800"
Sam Young,2012/13,"$761,319"
Jannero Pargo,2012/13,"$696,446"
Quincy Acy,2012/13,"$665,000"
Jeff Adrien,2012/13,"$653,356"
Doron Lamb,2012/13,"$650,000"
Jae Crowder,2012/13,"$600,491"
Garrett Temple,2012/13,"$572,943"
Jeffery Taylor,2012/13,"$550,000"
Orlando Johnson,2012/13,"$550,000"
Will Barton,2012/13,"$550,000"
Chris Johnson,2012/13,"$508,586"
Mike Scott,2012/13,"$473,604"
Tyshawn Taylor,2012/13,"$473,604"
Tornike Shengelia,2012/13,"$473,604"
Bernard James,2012/13,"$473,604"
Quincy Miller,2012/13,"$473,604"
Kim English,2012/13,"$473,604"
Khris Middleton,2012/13,"$473,604"
Kent Bazemore,2012/13,"$473,604"
Ben Hansbrough,2012/13,"$473,604"
Robert Sacre,2012/13,"$473,604"
Brian Roberts,2012/13,"$473,604"
Darius Miller,2012/13,"$473,604"
Chris Copeland,2012/13,"$473,604"
Pablo Prigioni,2012/13,"$473,604"
DeQuan Jones,2012/13,"$473,604"
Diante Garrett,2012/13,"$473,604"
Luke Zeller,2012/13,"$473,604"
Kevin Murphy,2012/13,"$473,604"
Mickael Gelabale,2012/13,"$452,323"
Kenyon Martin,2012/13,"$429,516"
Jordan Williams,2012/13,"$420,000"
Kevin Jones,2012/13,"$390,000"
Juwan Howard,2012/13,"$373,838"
Josh Harrellson,2012/13,"$358,680"
Samardo Samuels,2012/13,"$346,781"
Earl Barron,2012/13,"$339,726"
Maalik Wayns,2012/13,"$334,308"
Jarvis Varnado,2012/13,"$314,806"
Terrel Harris,2012/13,"$304,878"
Donald Sloan,2012/13,"$300,395"
Micheal Eric,2012/13,"$300,000"
Patrick Beverley,2012/13,"$298,092"
Terrence Williams,2012/13,"$296,775"
Travis Leslie,2012/13,"$294,835"
Shavlik Randolph,2012/13,"$280,286"
DJ White,2012/13,"$263,980"
Aron Baynes,2012/13,"$239,588"
Dionte Christmas,2012/13,"$236,800"
Troy Murphy,2012/13,"$226,619"
Kris Joseph,2012/13,"$225,657"
Scott Machado,2012/13,"$225,657"
Darius Johnson-Odom,2012/13,"$195,013"
Malcolm Thomas,2012/13,"$179,340"
DaJuan Summers,2012/13,"$177,024"
Chris Quinn,2012/13,"$169,339"
Tim Ohlbrecht,2012/13,"$142,081"
Tracy McGrady,2012/13,"$79,540"
Justin Holiday,2012/13,"$76,220"
Chris Douglas-Roberts,2012/13,"$72,892"
Solomon Jones,2012/13,"$62,912"
Jerel McNeal,2012/13,"$61,289"
Damion James,2012/13,"$50,258"
Justin Dentmon,2012/13,"$44,835"
Andrew Goudelock,2012/13,"$44,835"
Josh Akognon,2012/13,"$41,788"
Eddy Curry,2012/13,"$31,629"
Chris Wright,2012/13,"$27,859"
Henry Sims,2012/13,"$25,073"
Kobe Bryant,2010/11,"$24,806,250"
Rashard Lewis,2010/11,"$19,573,711"
Kevin Garnett,2010/11,"$18,800,000"
Tim Duncan,2010/11,"$18,700,000"
Michael Redd,2010/11,"$18,300,000"
Pau Gasol,2010/11,"$17,823,000"
Andrei Kirilenko,2010/11,"$17,823,000"
Gilbert Arenas,2010/11,"$17,730,694"
Yao Ming,2010/11,"$17,686,100"
Zach Randolph,2010/11,"$17,666,666"
Vince Carter,2010/11,"$17,300,000"
Dirk Nowitzki,2010/11,"$17,278,618"
Carmelo Anthony,2010/11,"$17,149,243"
Dwight Howard,2010/11,"$16,647,180"
Kenyon Martin,2010/11,"$16,545,454"
Amare Stoudemire,2010/11,"$16,486,611"
Joe Johnson,2010/11,"$16,324,500"
Elton Brand,2010/11,"$15,959,099"
Predrag Stojakovic,2010/11,"$15,532,320"
Chris Paul,2010/11,"$14,940,153"
Deron Williams,2010/11,"$14,940,152"
LeBron James,2010/11,"$14,500,000"
Chris Bosh,2010/11,"$14,500,000"
Jason Richardson,2010/11,"$14,444,444"
Carlos Boozer,2010/11,"$14,400,000"
Dwyane Wade,2010/11,"$14,200,000"
Paul Pierce,2010/11,"$13,876,321"
Andrew Bynum,2010/11,"$13,700,000"
Rudy Gay,2010/11,"$13,603,750"
Brandon Roy,2010/11,"$13,520,500"
Tony Parker,2010/11,"$13,500,000"
Samuel Dalembert,2010/11,"$13,428,129"
Antawn Jamison,2010/11,"$13,358,905"
Nick Collison,2010/11,"$13,250,000"
Chauncey Billups,2010/11,"$13,150,000"
Baron Davis,2010/11,"$13,000,000"
Al Jefferson,2010/11,"$13,000,000"
Tyson Chandler,2010/11,"$12,600,000"
Richard Hamilton,2010/11,"$12,500,000"
Andre Iguodala,2010/11,"$12,345,250"
Troy Murphy,2010/11,"$11,968,253"
Manu Ginobili,2010/11,"$11,854,584"
Chris Kaman,2010/11,"$11,800,000"
Marcus Camby,2010/11,"$11,749,832"
Josh Smith,2010/11,"$11,600,000"
Eddy Curry,2010/11,"$11,530,592"
Emeka Okafor,2010/11,"$11,495,000"
Nenê,2010/11,"$11,360,000"
Luol Deng,2010/11,"$11,345,000"
LaMarcus Aldridge,2010/11,"$11,244,000"
Tayshaun Prince,2010/11,"$11,148,760"
Kevin Martin,2010/11,"$11,100,005"
Monta Ellis,2010/11,"$11,000,000"
Andrew Bogut,2010/11,"$11,000,000"
Danny Granger,2010/11,"$10,973,202"
Jamal Crawford,2010/11,"$10,800,000"
Ben Gordon,2010/11,"$10,800,000"
David Lee,2010/11,"$10,800,000"
Jason Terry,2010/11,"$10,650,000"
Mike Dunleavy,2010/11,"$10,561,984"
Caron Butler,2010/11,"$10,561,960"
Gerald Wallace,2010/11,"$10,500,000"
